epoch,bce,kld,total
688,937.953887,86.140405,1024.094292
689,938.131877,86.024847,1024.156724
690,937.711375,86.376367,1024.087742
691,939.926639,86.186605,1026.113244
692,938.086095,85.859551,1023.945646
693,937.67386,85.903814,1023.577673
694,937.143236,85.988934,1023.13217
695,937.457018,86.005482,1023.4625
696,937.414685,86.068315,1023.483
697,937.453398,85.754962,1023.20836
698,937.325003,86.130218,1023.455221
699,938.395849,86.046598,1024.442448
700,937.360116,85.93464,1023.294756
701,937.661259,86.189448,1023.850707
702,937.109929,86.102276,1023.212206
703,937.780334,85.81495,1023.595284
704,937.287305,86.079354,1023.366659
705,936.416791,86.181905,1022.598696
706,937.472728,86.269369,1023.742097
707,938.195037,86.202165,1024.397202
708,937.607227,86.12514,1023.732367
709,937.737549,86.109619,1023.847168
710,936.860105,86.325028,1023.185133
711,936.1558,86.173954,1022.329754
712,936.591108,85.983825,1022.574933
713,936.578346,86.025949,1022.604295
714,936.132848,86.260597,1022.393444
715,936.048591,86.126737,1022.175328
716,936.334357,86.077814,1022.412171
717,936.581098,86.149509,1022.730606
718,937.035946,86.298576,1023.334523
719,936.264814,86.128706,1022.39352
720,936.129439,85.939986,1022.069425
721,937.352925,85.96659,1023.319515
722,938.711948,86.158694,1024.870642
723,936.501017,86.054597,1022.555614
724,936.704488,85.974892,1022.67938
725,936.627403,86.078202,1022.705605
726,937.922546,86.164041,1024.086587
727,937.424119,86.342032,1023.76615
728,936.511055,86.167688,1022.678742
729,936.077101,86.294352,1022.371453
730,936.128026,86.239228,1022.367254
731,935.753082,86.219283,1021.972365
732,936.648023,86.193407,1022.84143
733,937.440428,86.160522,1023.60095
734,936.304218,86.137591,1022.441809
735,936.01869,86.525317,1022.544007
736,935.645953,86.057274,1021.703227
737,936.954343,85.883277,1022.83762
738,936.298887,86.237297,1022.536185
739,935.645401,85.997086,1021.642487
740,936.194349,86.026986,1022.221335
741,935.586282,86.234409,1021.820691
742,936.097374,86.074701,1022.172075
743,935.585505,86.268347,1021.853853
744,937.62736,86.20625,1023.83361
745,935.720285,86.435465,1022.15575
746,935.103192,86.03448,1021.137671
